日文,假名,中文,类型,
,,,,
新标初_48,,,,
明日,みょうにち,明天,名词,
明日,あす,明天,名词,
昨日,さくじつ,昨天,名词,
この度,このたび,这次，这回,名词,
私,わたくし,我,代词,
私ども,わたくしども,我们,代词,
社,しゃ,公司,名词,
者,もの,人，～的人,名词,
弊社,へいしゃ,敝公司,名词,
新車,しんしゃ,新车,名词,
傷,きず,瑕疵；创伤,名词,
指導,しどう,指教，指导,名词,
おつり,おつり,找的零钱,名词,
応接室,おうせつしつ,会客室,名词,
案内状,あんないじょう,通知，请帖,名词,
入学案内,にゅうがくあんない,入学指南,名词,
伺います,うかがいます,（自谦）去；来；问；拜访；请教,动1,
いたします,いたします,（自谦）做，干,动1,
参ります,まいります,（自谦）来，去,动1,
いただきます,いただきます,（自谦）吃，喝；得到,动1,
おります,おります,在,动1,
ございます,ございます,在，有，是,动1,
差し上げます,さしあげます,（自谦）给,动2,
存じています,ぞんじています,（自谦）知道,动2,
進めます,すすめます,推进，使前进,动2,
拝見します,はいけんします,（自谦）看,动3,
承知します,しょうちします,知道,动3,
期待します,きたいします,希望，期待,动3,
世話します,せわします,帮助；照顾,动3,
貴重,きちょう,贵重,形容动词,
少々,しょうしょう,稍稍，一点儿,副词,
ただ今,ただいま,这会儿，方才；马上，立刻,副词,
突然,とつぜん,突然,副词,
実は,じつは,其实，实际上,副词,
東京料理スクール,とうきょうりょうりスクール,东京厨师学校,专有词,
北京日本語学校,ペキンにほんごがっこう,北京日语学校,专有词,
JC自動車,ジェーシーじどうしゃ,JC汽车公司,专有词,
何のお構いもしませんで,なんのおかまいもしませんで,招待不周,惯用语,
申し訳ございません,もうしわけございません,非常抱歉,惯用语,
,,,,
